,ValidationRound,RPS_Forecasts,RPS_Forecasts_2pred_int,RPS_point_forecast_only,RPS_hinge_forecast,RPS_forecast+naive,RPS_forecasts_weighted,RPS_forecasts_weighted_2int,RPS_forecasts_weighted_2int_naive,RPS_naive,RPS_weighted_ranked_naive_2,RPS_weighted_ranked_naive_3,RPS_naive5,ValidationRound,return_point_forecast,return_prob_forecast,return_prob_forecast_2int,return_hinge_forecast,return_hinge_rounded,return_hinge_rounded_less,return_hinge_2int,return_agreement,return_agreement_other_int,return_mrkt_basket,greatest_loss_investment,Exceptions,ValidationRound,smape,mae,rmse,made,mage,mle,imle,spl,containment,contour,maxe,oda,mqae,smape_weighted,mae_weighted,rmse_weighted,made_weighted,mage_weighted,mle_weighted,imle_weighted,spl_weighted,containment_weighted,contour_weighted,maxe_weighted,oda_weighted,mqae_weighted
run_0,0.7142857142857143,30.944444444444446,30.802857142857142,37.92857142857143,30.660714285714285,25.852678571428573,31.888392857142858,30.41253644314869,24.718571428571433,20.0,20.759110787172013,22.619419642857142,20.250000000000004,0.7142857142857143,0.0033841610444300474,0.0023287817358340077,0.0025045691757490975,0.002000873640296865,0.0023848458209893134,0.0022818621953614726,0.0034664492216934964,0.00743968276028543,0.0045131496872318185,4.401981709820201,-0.5442857142857143,,0.7142857142857143,8.797790071970576,10.094506448423497,10.094506448423497,10.094506448423497,855.7723085093221,8.303378603705239,3.599203845126481,7.92023739385616,0.24857142857142858,0.31142857142857144,10.094506448423497,0.0,10.094506448423497,8.797790071970576,10.094506448423493,10.094506448423493,10.094506448423493,855.7723085093223,8.303378603705237,3.5992038451264796,7.92023739385616,0.24857142857142858,0.31142857142857144,10.094506448423493,0.0,10.094506448423493
run_1,0.7142857142857143,30.46825396825397,30.72857142857143,40.07142857142857,29.535714285714285,25.81696428571429,31.901785714285715,29.975218658892125,24.785,20.0,21.044460641399414,22.970982142857142,20.250000000000004,0.7142857142857143,0.018666928571760544,0.018915131280021386,0.01856329187964691,0.018881472975148535,0.012769384401063897,0.018487174661835054,0.017825086852677478,0.02513875416275752,0.018898449008247536,4.401981709820201,-0.41285714285714287,,0.7142857142857143,8.722680297036886,10.103504966754295,10.103504966754295,10.103504966754295,697.7767999304996,8.331311136298485,3.5659426092534785,6.672768624766626,0.3657142857142857,0.3,10.103504966754295,0.0,10.103504966754295,8.722680297036886,10.10350496675429,10.10350496675429,10.10350496675429,697.7767999304997,8.331311136298485,3.565942609253479,6.672768624766625,0.3657142857142857,0.3,10.10350496675429,0.0,10.10350496675429
run_10,1.0,31.740740740740744,32.10666666666666,41.666666666666664,30.625,26.77083333333334,33.260416666666664,31.26190476190476,25.683333333333334,20.0,21.431122448979593,23.6484375,20.250000000000004,1.0,-0.013709534763317698,-0.011255148375172835,-0.011105941356302431,-0.010015312635593814,-0.0032935882785043702,-0.009308679778104166,-0.010778908016225624,-0.010148729671386348,-0.008689929373878193,2.2319956449796705,-0.6533333333333333,,1.0,8.955147015302002,9.787521933777674,9.787521933777674,9.787521933777674,666.81186813371,7.760084589954068,3.7983370053744445,7.054265041093118,0.3466666666666667,0.4033333333333333,9.787521933777674,0.0,9.787521933777674,8.955147015302005,9.787521933777674,9.787521933777674,9.787521933777674,666.81186813371,7.76008458995407,3.7983370053744445,7.054265041093117,0.3466666666666667,0.4033333333333333,9.787521933777674,0.0,9.787521933777674
run_100,1.0,31.666666666666668,32.03333333333334,41.666666666666664,30.5,26.71875,33.208333333333336,31.17687074829932,25.626666666666665,20.0,21.418367346938776,23.625,20.250000000000004,1.0,-0.013571361384401489,-0.011159448351739524,-0.011000731731803146,-0.00993746188730712,-0.0032706310116466775,-0.009151072594211204,-0.01065901493782507,-0.009850790388571838,-0.008488994638291695,2.2319956449796705,-0.65,,1.0,8.950924678163057,9.765069188811038,9.765069188811038,9.765069188811038,664.5665936370459,7.759369380493767,3.775621557856127,7.042040911364641,0.3466666666666667,0.4033333333333333,9.765069188811038,0.0,9.765069188811038,8.95092467816306,9.765069188811038,9.765069188811038,9.765069188811038,664.5665936370464,7.7593693804937685,3.7756215578561267,7.042040911364638,0.3466666666666667,0.4033333333333333,9.765069188811038,0.0,9.765069188811038
run_102,1.0,31.703703703703706,32.06,41.666666666666664,30.541666666666668,26.73958333333334,33.239583333333336,31.210884353741495,25.64333333333333,20.0,21.42091836734694,23.6328125,20.250000000000004,1.0,-0.013805904966563108,-0.011368123133803497,-0.011220733319533521,-0.010133098445968622,-0.003597177279370433,-0.009373421135577771,-0.01089613432229366,-0.01021107082890093,-0.008735357610454113,2.2319956449796705,-0.65,,1.0,8.963184704494187,9.786773392134888,9.786773392134888,9.786773392134888,666.7370139694308,7.7593360483112805,3.798345554459964,7.049430303512511,0.3466666666666667,0.4033333333333333,9.786773392134888,0.0,9.786773392134888,8.963184704494191,9.786773392134888,9.786773392134888,9.786773392134888,666.7370139694311,7.759336048311282,3.798345554459964,7.049430303512509,0.3466666666666667,0.4033333333333333,9.786773392134888,0.0,9.786773392134888
run_104,1.0,32.2037037037037,32.553333333333335,41.666666666666664,31.125,27.052083333333332,33.65625,31.73809523809523,25.94666666666667,20.0,21.480442176870753,23.768229166666668,20.250000000000004,1.0,-0.013818833786882185,-0.012512319749569616,-0.012210398709268313,-0.01161214060074533,-0.00581350802844973,-0.011081149492734005,-0.011669727472628393,-0.0075726091037348515,-0.0067449620089346475,2.2319956449796705,-0.6166666666666666,,1.0,9.280880672570841,10.232127680789942,10.232127680789942,10.232127680789942,695.1045995050495,8.129024336731307,3.926832268933094,7.515275469523156,0.3233333333333333,0.40666666666666673,10.232127680789942,0.0,10.232127680789942,9.280880672570843,10.232127680789942,10.232127680789942,10.232127680789942,695.1045995050487,8.129024336731309,3.9268322689330932,7.515275469523157,0.3233333333333333,0.40666666666666673,10.232127680789942,0.0,10.232127680789942
run_106,1.0,32.22222222222223,32.56,41.666666666666664,31.125,27.0625,33.677083333333336,31.74489795918367,25.95,20.0,21.48214285714286,23.7734375,20.250000000000004,1.0,-0.013634720893898451,-0.012329103654028775,-0.012024740023100652,-0.011429780126872223,-0.0056739532221365485,-0.010767618027169261,-0.011480322266588412,-0.007460874077455693,-0.006668475283658489,2.2319956449796705,-0.6166666666666666,,1.0,9.259232286452914,10.2014316367365,10.2014316367365,10.2014316367365,695.2473994237798,8.118240879207102,3.905160479294097,7.534142422187049,0.3233333333333333,0.40666666666666673,10.2014316367365,0.0,10.2014316367365,9.259232286452916,10.201431636736498,10.201431636736498,10.201431636736498,695.2473994237793,8.118240879207105,3.905160479294097,7.53414242218705,0.3233333333333333,0.40666666666666673,10.201431636736498,0.0,10.201431636736498
run_108,1.0,31.11111111111111,31.586666666666662,40.5,30.083333333333332,26.270833333333332,32.541666666666664,30.748299319727888,25.286666666666665,20.0,21.19387755102041,23.25,20.250000000000004,1.0,-0.006332609103766799,-0.005959545963508978,-0.006093087475429797,-0.005777396178698837,-0.0007166214372580486,-0.0050818694640749175,-0.006281943232153826,-0.008349636676459576,-0.007133132630067731,2.2319956449796705,-0.3933333333333333,,1.0,9.22136305137258,10.396409123594838,10.396409123594838,10.396409123594838,735.6473269077542,8.396129014743773,3.8163148672893485,7.498504873304093,0.32666666666666666,0.39333333333333337,10.396409123594838,0.0,10.396409123594838,9.221363051372583,10.396409123594838,10.396409123594838,10.396409123594838,735.6473269077547,8.396129014743773,3.8163148672893485,7.498504873304093,0.32666666666666666,0.39333333333333337,10.396409123594838,0.0,10.396409123594838
run_11,0.5,30.86111111111111,31.34,40.75,29.6875,26.125,32.390625,30.464285714285708,25.134999999999998,20.0,21.190051020408163,23.222656250000004,20.250000000000004,0.5,-0.019223944260940942,-0.01791531366104075,-0.0183792810718285,-0.01726175937748398,-0.009459470697874244,-0.016128211301917928,-0.01906323569079129,-0.024307701464032848,-0.017863883828071973,6.0294712584506,-0.44499999999999995,,0.5,9.709067822878614,11.122372509931825,11.122372509931825,11.122372509931825,942.3802069741864,10.508455550333256,2.4840530865294914,8.011615181037461,0.305,0.195,11.122372509931825,0.0,11.122372509931825,9.709067822878614,11.122372509931825,11.122372509931825,11.122372509931825,942.3802069741872,10.508455550333256,2.4840530865294914,8.011615181037461,0.305,0.195,11.122372509931825,0.0,11.122372509931825
run_110,1.0,31.87037037037037,32.20666666666667,41.5,30.75,26.78125,33.354166666666664,31.37074829931973,25.656666666666666,20.0,21.37925170068027,23.598958333333332,20.250000000000004,1.0,-0.009767309255642157,-0.007222011999932839,-0.007041744527671808,-0.00594494052911096,-0.00037497422763891133,-0.005496225426393739,-0.006687281053965235,-0.001973610830999787,-0.003284217835506916,2.2319956449796705,-0.6266666666666666,,1.0,9.115864812338346,10.011336005152094,10.011336005152094,10.011336005152094,687.9473797533736,7.980313903388158,3.8336244845665965,7.263212894286485,0.3233333333333333,0.41,10.011336005152094,0.0,10.011336005152094,9.11586481233835,10.011336005152094,10.011336005152094,10.011336005152094,687.9473797533733,7.9803139033881605,3.8336244845665965,7.263212894286483,0.3233333333333333,0.41,10.011336005152094,0.0,10.011336005152094
